"mean","year","ingo_uia","xrcomp","xropen","xconst","parcomp","injud","pop","gdppc","rentspc","military","execrlc","trade_gdp","fdi_net_in","public_trial","fair_trial","final_decision","legislative_ck","structad","imfstruct","common","cat_ratify","cpr_ratify","ythblgap","terrrev","cim","CIE","lagus","lagun","hrordinal","nonhrordinal","cwar","iwar","sd","ccode"
-0.681349229365425,1985,642,1,4,3,2,1,40806,4217,0,1,3,63.3528480529785,0.241669058799744,1,0,0,1,1,1,0,0,1,30.1000003814697,0,88.5074377059937,3.5851514339447,0,0,0,0,0,0,0.199284397060403,732
-0.681349229365425,1985,642,1,4,3,2,1,40806,4217,0,1,3,63.3528480529785,0.241669058799744,1,0,0,1,1,1,0,0,1,30.1000003814697,0,88.5074377059937,3.5851514339447,0,0,0,0,0,0,0.199284397060403,732
-0.681349229365425,1985,642,1,4,3,2,1,40806,4217,0,1,3,63.3528480529785,0.241669058799744,1,0,0,1,1,1,0,0,1,30.1000003814697,0,88.5074377059937,3.5851514339447,0,0,0,0,0,0,0.199284397060403,732
-0.681349229365425,1985,642,1,4,3,2,1,40806,4217,0,1,3,63.3528480529785,0.241669058799744,1,0,0,1,1,1,0,0,1,30.1000003814697,0,88.5074377059937,3.5851514339447,0,0,0,0,0,0,0.199284397060403,732
-0.681349229365425,1985,642,1,4,3,2,1,40806,4217,0,1,3,63.3528480529785,0.241669058799744,1,0,0,1,1,1,0,0,0,30.1000003814697,0,88.5074377059937,3.5851514339447,0,0,0,0,0,0,0.199284397060403,732
-0.681349229365425,1985,642,1,4,3,2,1,40806,4217,0,1,3,63.3528480529785,0.241669058799744,1,0,0,1,1,1,0,0,0,30.1000003814697,0,88.5074377059937,3.5851514339447,0,0,0,0,0,0,0.199284397060403,732
-0.681349229365425,1985,642,1,4,3,2,1,40806,4217,0,1,3,63.3528480529785,0.241669058799744,1,0,0,1,1,1,0,0,0,30.1000003814697,0,88.5074377059937,3.5851514339447,0,0,0,0,0,0,0.199284397060403,732
-0.681349229365425,1985,642,1,4,3,2,1,40806,4217,0,1,3,63.3528480529785,0.241669058799744,1,0,0,1,1,1,0,0,0,30.1000003814697,0,88.5074377059937,3.5851514339447,0,0,0,0,0,0,0.199284397060403,732
-0.681886446537809,1986,650,1,4,3,2,1,41184,4786,0,1,1,66.2223052978516,0.41291731595993,1,0,0,1,0,0,0,0,1,29.5,0,89.1562759876251,3.62675881385803,0,0,0,0,0,0,0.196713264749301,732
-0.681886446537809,1986,650,1,4,3,2,1,41184,4786,0,1,1,66.2223052978516,0.41291731595993,1,0,0,1,0,0,0,0,1,29.5,0,89.1562759876251,3.62675881385803,0,0,0,0,0,0,0.196713264749301,732
-0.681886446537809,1986,650,1,4,3,2,1,41184,4786,0,1,1,66.2223052978516,0.41291731595993,1,0,0,1,0,0,0,0,1,29.5,0,89.1562759876251,3.62675881385803,0,0,0,0,0,0,0.196713264749301,732
